Zeichen,Romanisierung,Silbenende,Klasse,Plosive,Merkwort,Tones Merkwort
ก,g,k,M,1,ไก่,L
ข,kh,k,H,1,ไข่,L
ฃ,kh,k,H,0,ขวด,L
ค,kh,k,L,1,ควาย,M
ฅ,kh,k,L,0,คน,M
ฆ,kh,k,L,1,ระฆัง,HM
ง,ng,ng,L,0,งู,M
จ,ch,t,M,1,จาน,M
ฉ,ch,,H,0,ฉิ่ง,L
ช,ch,t,L,1,ช้าง,H
ซ,s,t,L,0,โซ่,F
ฌ,ch,t,L,1,เฌอ,M
ญ,y,n,L,0,หญิง,R
ฎ,d,t,M,1,ชฎา,HM
ฏ,t,t,M,1,ปฏัก,LL
ฐ,th,t,H,1,ฐาน,R
ฑ,d,t,L,1,มณโฑ,MM
ฒ,th,t,L,1,ผู้เฒ่า,FF
ณ,n,n,L,0,เณร,M
ด,d,t,M,1,เด็ก,L
ต,t,t,M,1,เต่า,L
ถ,th,t,H,1,ถุง,R
ท,th,t,L,1,ทหาร,HR
ธ,th,t,L,1,ธง,M
น,n,n,L,0,หนู,R
บ,b,p,M,1,ใบไม้,MH
ป,p,p,M,1,ปลา,M
ผ,ph,,H,0,ผึ้ง,F
ฝ,f,,H,0,ฝา,R
พ,ph,p,L,1,พาน,M
ฟ,f,p,L,1,ฟัน,M
ภ,ph,p,L,1,สำเภา,RM
ม,m,m,L,0,ม้า,H
ย,y,j,L,0,ยักษ์,H
ร,r,n,L,0,เรือ,M
ล,l,n,L,0,ลิง,M
ว,w,w,L,0,แหวน,R
ศ,s,t,H,1,ศาลา,RM
ษ,s,t,H,1,ฤๅษี,MR
ส,s,t,H,1,เสือ,R
ห,h,,H,0,หีบ,L
ฬ,l,n,L,0,จุฬา,LM
อ,-,-,M,0,อ่าง,L
ฮ,h,,L,0,นกฮูก,HF
